"Sample","Year","Month","Location","Sex","GSI","fLocation","fSex"
"24",24,1,5,1,1,5.297,"1","M"
"48",48,1,5,3,1,4.2968,"3","M"
"58",58,1,6,1,1,3.5008,"1","M"
"60",60,1,6,1,1,3.2487,"1","M"
"61",61,1,6,1,1,3.2304,"1","M"
"62",62,1,5,3,1,3.2263,"3","M"
"63",63,1,6,1,1,3.1848,"1","M"
"65",65,1,6,1,1,2.9683,"1","M"
"66",66,1,5,1,1,2.9544,"1","M"
"67",67,1,6,1,1,2.939,"1","M"
"68",68,1,5,1,1,2.9327,"1","M"
"69",69,1,6,1,1,2.8933,"1","M"
"70",70,1,6,1,1,2.8593,"1","M"
"71",71,1,5,1,1,2.8534,"1","M"
"72",72,1,6,1,1,2.8188,"1","M"
"73",73,1,6,1,1,2.8129,"1","M"
"74",74,1,6,1,1,2.8037,"1","M"
"75",75,1,6,1,1,2.7928,"1","M"
"77",77,1,5,1,1,2.6601,"1","M"
"78",78,1,6,1,1,2.6492,"1","M"
"79",79,1,5,3,1,2.6353,"3","M"
"80",80,1,5,1,1,2.6341,"1","M"
"81",81,1,5,1,1,2.6241,"1","M"
"82",82,1,5,3,1,2.6151,"3","M"
"83",83,1,5,1,1,2.6064,"1","M"
"84",84,1,5,1,1,2.5951,"1","M"
"85",85,1,4,3,1,2.5781,"3","M"
"86",86,1,5,1,1,2.5674,"1","M"
"87",87,1,5,1,1,2.5616,"1","M"
"88",88,1,6,1,1,2.5545,"1","M"
"89",89,1,5,1,1,2.5526,"1","M"
"90",90,1,6,1,1,2.499,"1","M"
"91",91,1,6,1,1,2.4789,"1","M"
"92",92,1,6,1,1,2.4606,"1","M"
"94",94,1,6,1,1,2.4425,"1","M"
"95",95,1,5,1,1,2.4356,"1","M"
"96",96,1,5,1,1,2.4238,"1","M"
"97",97,1,5,1,1,2.4145,"1","M"
"98",98,1,6,3,1,2.4062,"3","M"
"99",99,1,5,1,1,2.4038,"1","M"
"100",100,1,6,3,1,2.402,"3","M"
"101",101,1,6,3,1,2.4006,"3","M"
"103",103,1,5,1,1,2.3976,"1","M"
"104",104,1,5,3,1,2.3923,"3","M"
"105",105,1,5,1,1,2.3882,"1","M"
"106",106,1,6,3,1,2.3848,"3","M"
"107",107,1,5,1,1,2.3847,"1","M"
"108",108,1,5,3,1,2.3746,"3","M"
"109",109,1,5,1,1,2.3731,"1","M"
"110",110,1,5,1,1,2.3723,"1","M"
