Day	January	February	March	April	May	June	July	August	September	October	November	December
1	16	15.3	18.9	24.4	27.2	29.3	30.5	28.9	27.4	28.8	22.9	22.9
2	15.2	16.3	17.5	25.6	27.6	29.6	30.6	28.9	25.8	27.9	22.6	23.3
3	15.5	17.1	19.3	25.9	28.2	29.9	30.6	29.5	27.6	26.8	23.7	20.8
4	17.3	16.2	17.2	26.5	28.1	29.8	30.5	29.4	29.1	26.7	24.7	19.5
5	19	14	16.2	26	27.3	29.2	29.8	29.6	29.3	26.7	25.8	18.4
6	20.2	13.4	16.9	26.5	26.8	29.5	29.2	30.1	29.6	26	25.5	16.6
7	18.1	16	17.4	24.9	28	29.8	29.2	30.7	28.3	26.4	26.2	17.3
8	15.7	16.2	18.5	18.9	28.2	29.8	28.8	32.4	27.9	27.8	26.5	18
9	15.5	14.9	21.1	18	27.3	29.9	27.4	31	28.2	26.8	26.7	17.7
10	16.3	14.5	17.7	18.2	26.3	29.9	28.3	28.1	28.1	24.3	24.9	19.3
11	16.9	16	16.2	17.1	25.6	30.3	29.9	29.2	28.1	20.5	23.8	19.9
12	14.1	17.3	15.7	19.3	25.7	28.8	30.9	30	27.9	23.1	23.9	20
13	12.6	17.5	17.2	22.4	26.4	29.9	30.8	28	28	25.1	23.3	20.4
14	13.7	18.5	19.4	21.5	28.5	29.9	30.5	26.9	28	25	24.3	20.4
15	14.5	18.9	20.9	22.1	29.1	30.2	30.3	27	28.6	25.2	24.2	18.4
16	16.7	19.7	21.8	22.7	26.7	30.1	30.2	29.2	28.1	25.8	24.8	15.2
17	15.7	19.2	22.1	23.7	26.4	30.2	28.9	29.9	28.2	26.2	25.5	13.2
18	16.2	18.1	23	25.3	28.2	30.7	29.7	30.2	28.5	25.5	26.1	13.9
19	15.8	17.2	24	26.6	28.6	30.8	29.7	30.1	28.3	25.3	25.9	16.2
20	15.9	17.5	24	26.3	27.9	30.9	27.4	29.1	28.7	26.2	24.8	17.6
21	17.2	19.3	22.9	23.7	24.2	28.5	26.7	30	27.4	26.4	24.8	19.4
22	17.4	20.3	21	23.3	23.6	27.9	27	30.2	28.1	27	25.4	19.9
23	16.3	18.6	20.9	22.6	24.8	27.3	27.9	30.6	28.9	27	25.4	21.1
24	17	18.6	19.8	24.4	26.6	28.3	28.8	30.7	29.3	26.8	24.5	22.3
25	18.2	19.6	18.2	23.9	28.4	28.3	28.5	30.6	29.7	25.9	22.6	18.2
26	18.6	21.4	18.8	24.1	26.9	29.5	28.5	28.9	28.7	25.4	18.2	17.9
27	18.3	19.4	20.3	24.8	29.2	30.4	29.1	29	27.8	26.5	18.4	17.7
28	16.9	18.3	21.4	25.4	30	30.4	29.2	28.3	29	26.7	20.8	17.3
29	16.8		22.4	26.6	30.3	30.5	27.9	27.8	29.7	26.4	22.1	17.7
30	16.8		22.8	27.5	29.6	30.4	28.1	26.6	29.8	26.7	22.4	17.3
31	15.5		23.3		29.3		28.5	27.4		25.6		17.8
